Title,Number_of_characters,Description,Gender,doNotUse,birthYear,deathDate,deathYear,ethnicity,nationality,country,region,religion,activeYearsStartYear,genre,notableWork,almaMater
Maggie Stiefvater,1,American writer,NA,1981-11-18,1981,NA,NA,NA,NA,NA,NA,NA,NA,Young-adult fiction and Fantasy,NA,NA
Mahmud A. Asrar,2,Pakistani-Austriancomic bookartist,NA,1976-11-20,1976,NA,NA,NA,Pakistanis,NA,NA,NA,NA,NA,NA,NA
Major Ravi,1,Indian actor,NA,1953-04-01 and 1958-06-13,1953,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA
Malcolm Judge,1,Cartoonist,NA,NA,1918,1989-01-17,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manuel García Ferré,1,Animation director,NA,1929-10-08,1929,2013-03-28,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Andreyko,2,Writer,NA,1970-06-20,1970,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Marc Brown (author),1,American writer,NA,1945-11-25 and 1946-11-25,1945,NA,NA,NA,United States,NA,NA,NA,NA,Childrens literature and Television program,NA,NA
Marcos Martín,3,Artist,NA,NA,1972,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA
Matthew Reilly,2,Australian writer,NA,1974-07-02,1974,NA,NA,NA,NA,NA,NA,NA,NA,Thriller (genre) and Action (fiction),NA,NA
Matthew Sturges,3,Writer,NA,1970-10-02,1970,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Maureen Jennings,1,Canadian writer,NA,NA,1939,NA,NA,NA,NA,Canada,NA,NA,NA,NA,NA,NA
Mel Rubi,1,Artist,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Meredith Stiehm,4,American television personality,NA,NA,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael G. Moye,1,Television writerTelevision producerPhotographer,NA,1954-08-11,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Gaydos,2,Americancomicsartist,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Michael K. Frith,1,British artist and director,NA,1941-07-08,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Ryan (artist),4,Commic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michelle King,1,AMerican television producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Barker (producer),4,American film producer,NA,1968-06-07,1968,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA
Mike Bullen,1,TELEVISION SCREENWRITER,NA,1960-01-13,1960,NA,NA,NA,NA,NA,NA,NA,1994,NA,Cold Feet and Life Begins (TV series),NA
Mike Carlin,4,Americancomic bookwriter and editor,NA,1958-10-06,1958,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Mike Collins (comics),1,Comic artist,NA,NA,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Costa,1,Americancomic bookwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Esposito (comics),4,Comic=book inker best known for Wonder Woman and Spider-Man collaborations with penciler Ross Andru,NA,1927-07-14,1927,2010-10-24,2010,NA,United States,NA,NA,NA,NA,NA,NA,NA
Margarito C. Garza,1,American judge,NA,1931-10-29,1931,1995-11-15,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mario Gully,1,Americancomic book artist,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Mark Brooks (comics),5,Comic artist,NA,1973-04-12,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Fergus and Hawk Ostby,1,American screenwriters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Henn,1,American animator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark McCorkle,2,American television writer and producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marko Djurdjević,2,Illustrator,NA,1979-01-23,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mary Skrenes,1,Writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Mike Harris (comics),1,Comic artist,NA,NA,1962,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Mike Kelley (writer),4,American television writer and producer,NA,NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike McKone,8,Comic artist,NA,NA,NA,NA,NA,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA
Mike Norton,1,Comic artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Perkins,2,British comics artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike S. Miller,1,Illustrator,NA,NA,1971,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
