Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Captain America, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carl Barks, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carl Burgos, 5, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Carl Critchlow, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carl Potts, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carlo Collodi, 10, NA, NA, 1826-11-24, 1826, 1890-10-26, NA, NA, NA, NA, NA, NA, NA, Children's literature, NA, NA
Carlo J. Caparas, 1, NA, NA, 1958-12-15, 1958, NA, NA, NA, Filipinos, NA, NA, NA, NA, NA, NA, NA
Carlo Vergara, 1, Writer Illustrator Graphic Designer Comics Creator, NA, 1971-01-25, 1971, NA, NA, NA, Filipinos, NA, NA, NA, NA, NA, NA, NA
Carlos Ezquerra, 10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carlos Pacheco, 3, NA, NA, NA, NA, NA, NA, NA, Spaniards, NA, NA, NA, NA, NA, NA, NA
Carlton Cuse, 1, NA, NA, 1959-03-22, 1959, NA, NA, NA, United States, NA, NA, NA, 1984, NA, NA, NA
Carmine Infantino, 46, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Caroline B. Cooney, 1, NA, NA, 1947-05-10, 1947, NA, NA, NA, NA, NA, NA, NA, NA, Historical fiction and Young-adult fiction and Fantasy, NA, NA
Carter Bays, 6, American television writer and producer, NA, 1975-08-12, 1975, NA, NA, NA, NA, NA, NA, NA, 1998, NA, NA, NA
Cary Bates, 18, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cary Burkett, 1, Comic book writer, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cecily von Ziegesar, 9, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, 2002, Romance novel and Short film, Gossip Girl (novel series) and The It Girl (novel series), NA
Charlaine Harris, 8, NA, NA, 1951-11-25, 1951, NA, NA, NA, NA, NA, NA, NA, NA, Mystery fiction, The Southern Vampire Mysteries, NA
Charles Addams, 9, NA, NA, 1912-01-07, 1912, 1988-09-29, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Charles Band, 1, NA, NA, 1951-12-27, 1951, NA, NA, NA, NA, NA, NA, NA, 1973, NA, NA, NA
Charles Biro, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Charles Dickens, 35, NA, NA, 1812-02-07, 1812, 1870-06-09, NA, NA, NA, NA, NA, NA, NA, NA, David Copperfield and A Christmas Carol and Little Dorrit and Great Expectations and Oliver Twist and The Pickwick Papers and Bleak House and Hard Times and A Tale of Two Cities, NA
Charles H. Eglee, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Dark Angel (TV series) and Murder One (TV series) and The Walking Dead (TV series), NA
Charles Hamilton (writer), 1, NA, NA, 1876-08-08, 1876, 1961-12-24, NA, NA, NA, NA, NA, NA, NA, NA, Billy Bunter, NA
Danilo Bach, 1, NA, NA, 1944-03-01, 1944, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dann Thomas, 10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Danny Fingeroth, 6, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Danny Kallis, 6, American television producer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Danny McBride, 1, Actor producer stand-up comedian writer, NA, 1976-12-29, 1976, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Danny Zialcita, 1, Filipino movie director, NA, 1939-11-24, 1939, 2013-03-10, 2013, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dante Quinterno, 1, Artist, NA, 1909-10-26, 1909, 2003-05-14, 2003, NA, Argentina, NA, NA, NA, NA, NA, NA, NA
Darick Robertson, 5, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darko Macan, 1, NA, NA, NA, NA, NA, NA, NA, Croatia, NA, NA, NA, NA, NA, NA, NA
Darren G. Davis, 2, Publisher, NA, 1968-07-08, 1968, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darren Lynn Bousman, 1, American film director and screenwriter, NA, 1979-01-11, 1979, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darren Star, 1, NA, NA, 1961-07-25, 1961, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of California Los Angeles
Darryl Banks, 6, Artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darwyn Cooke, 1, NA, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Dashiell Hammett, 1, NA, NA, 1894-05-27, 1894, 1961-01-10, NA, NA, NA, NA, NA, NA, 1929, Detective fiction, NA, NA
Dave Cockrum, 39, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Filoni, 1, American film director, NA, 1974-06-07, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Gibbons, 10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Goelz, 2, NA, NA, 1946-07-16, 1946, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Hoover, 4, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dave McKean, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Mustaine, 1, NA, NA, 1961-09-13, 1961, NA, NA, NA, NA, NA, NA, NA, 1978, Heavy metal music and Thrash metal, NA, NA
Dave Sim, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Stevens, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Dave Stewart (artist), 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Stone, 1, NA, NA, 1964-06-12, 1964, NA, NA, NA, United Kingdom, NA, NA, NA, 1991, Science fiction, NA, NA
Dave Thomas (actor), 1, NA, NA, 1949-05-20, 1949, NA, NA, NA, NA, NA, NA, NA, 1974, NA, NA, NA
Dave Thorpe, 3, NA, NA, NA, NA, NA, NA, NA, England, NA, NA, NA, 1981, Science fiction and Superhero, Captain Britain, NA
Dave Willis, 5, NA, NA, 1970-05-01, 1970, NA, NA, NA, United States, NA, NA, NA, 1995, NA, NA, Wake Forest University
David A. Williams, 1, American chief executive of a Charity, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Aja, 1, Spanishcomic bookartist, NA, 1977-04-16, 1977, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
David Anthony Kraft, 9, Writer, NA, NA, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Ayer, 1, NA, NA, 1968-01-18, 1968, NA, NA, NA, NA, NA, NA, NA, 2000, NA, NA, NA
David Baron (comics), 1, Americancomic bookcolorist, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
David Bowie, 1, NA, NA, 1947-01-08, 1947, 2016-01-10, 2016, NA, NA, NA, NA, NA, 1962, NA, NA, NA
David Callaham, 1, . American screenwriter, NA, 1977-10-24, 1977, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Michigan
David Chase, 26, NA, NA, 1945-08-22, 1945, NA, NA, NA, NA, NA, NA, NA, 1974, NA, NA, NA
David Crane (producer), 6, NA, NA, 1957-08-13, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Brandeis University
